,unemployment_roll3_mean,gdp_growth_roll3_std,consumption_growth_roll3_mean,india_gdp_growth_roll3_std,imports_pct_gdp_lag1,unemployment_lag1,unemployment_lag2,gdp_growth_chg3,imports_pct_gdp_roll3_mean,gdp_growth_roll3_mean,forex_reserves_months_roll3_std,gross_investment_gdp_lag2,consumption_growth_lag1,india_nepal_gdp_gap,imports_pct_gdp_lag2,gdp_growth_chg1,consumption_growth_lag2,gross_investment_gdp_lag3,gross_investment_gdp_lag1,forex_rapid_decline,india_gdp_growth_lag3,forex_reserves_months_lag3,gross_investment_gdp_chg1,imports_pct_gdp_chg1,stress_index,imports_pct_gdp_roll3_std,remittances_pct_gdp_lag1,distress
2016-01-01,10.659,2.8229298102824107,3.2607611151416136,0.43337846945091,36.4511417965013,10.643,10.62,-3.092039451909966,35.415216457919435,3.4735499445052143,2.05249080253658,30.9860882268693,2.5827039197471,7.823191782409337,35.8585994934377,-3.5429395522481864,3.04372448184711,29.6766090195384,31.2774348208688,0,6.38610640094825,8.56836277441355,-3.036435621344598,-2.515233712681997,0.5320166031246186,1.3149302432038146,27.6260850017638,1
2017-01-01,10.672333333333334,4.292773956616275,2.508644759811496,0.7793169942097671,33.9359080838193,10.714,10.643,2.9657965139302505,35.73909061595767,4.462148782481965,1.6343612181646563,31.2774348208688,4.15585494383063,-2.1818959374555504,36.4511417965013,8.544165637053137,2.5827039197471,30.9860882268693,28.2409991995242,0,7.41022760508854,8.43501141324674,9.084054806570396,2.8943138837330977,0.1949035282221231,1.5730625789134098,26.9605652689538,0
2018-01-01,10.655666666666669,4.592095071814658,3.704355898919509,0.9574078264626676,36.8302219675524,10.66,10.714,3.64632283234964,37.1326253252303,5.677589726598511,1.9093835139882325,28.2409991995242,0.787375415856758,-1.1685247590016594,33.9359080838193,-1.354903252455311,4.15585494383063,31.2774348208688,37.3250540060946,0,7.99625378571471,12.5337607363716,2.222746329422904,3.8015239567668,0.308656430819479,3.3581463547050334,23.9135443394186,0
2019-01-01,10.576666666666668,1.165550362751928,5.0322352281335165,1.5986958914895912,40.6317459243192,10.593,10.66,6.223941711723146,39.6438526682671,7.75223696383956,1.4027872902774057,37.3250540060946,6.16983733707114,-2.78561849040111,36.8302219675524,-0.9653206728746796,0.787375415856758,28.2409991995242,39.5478003355175,0,8.25630550179086,10.2885647962682,1.830940575301,0.8378441886105037,0.3420659973641806,2.472424723040171,25.0264204285432,0
2020-01-01,11.369,5.511393099983846,5.968463666898721,6.447048903289703,41.4695901129297,10.477,10.593,-11.34689998564186,38.73830393565063,3.9699369686256056,3.170797835931378,39.5478003355175,8.13949293147265,-3.4081040776608105,40.6317459243192,-9.02667606031187,6.16983733707114,37.3250540060946,41.3787409108185,0,6.79538341897911,9.35380252386613,-10.9384594009972,-7.356014343226704,0.6264568959671486,4.0269813356631134,24.1163701264819,1
2021-01-01,11.918333333333337,4.773909141528342,6.567503538456907,7.812331660558758,34.113575769703,13.037,10.477,-2.7842264898643494,37.83926639653924,3.041861472004156,3.132982900019184,41.3787409108185,3.59606073215237,4.851442877813749,41.4695901129297,7.2077702433222,8.13949293147265,39.5478003355175,30.4402815098213,1,6.45385134497769,6.61464333893592,4.7233159546479975,3.8210575372820017,0.4793791271543486,3.678934341646393,24.2502461023191,1
2022-01-01,11.979666666666668,4.408250339955501,6.131384181874284,8.394238282512255,37.934633306985,12.241,13.037,-1.0257408742595695,38.10640656357947,2.699947847250966,3.215617066329624,30.4402815098213,7.9669569517457,1.9780504208438487,34.113575769703,0.7931649427301002,3.59606073215237,41.3787409108185,35.1635974644693,0,3.87143694070356,7.45868343240894,2.4802507882158054,4.336377307065398,0.4383129160106776,4.081429326682508,22.2775786274327,1
2023-01-01,11.113,1.9190736878227364,5.171850580257859,1.0860463162372795,42.2710106140504,10.661,12.241,4.35216906549112,38.2566089778257,4.150670869081339,2.028204973525352,35.1635974644693,6.83113486172478,7.20820649399953,37.934633306985,-3.64876612056118,7.9669569517457,30.4402815098213,37.6438482526851,0,-5.77772470686801,12.4797850993124,-6.494548099712503,-7.706827601608694,0.4375897709518952,3.8634892480359455,22.8532966744987,1
2024-01-01,10.532666666666666,1.8823778998141696,2.872927429289753,0.7990869001166486,34.5641830124417,10.437,10.661,-0.2281496141149999,36.58103924410193,4.074620997709673,5.634775548790086,37.6438482526851,0.717459927303096,3.589999999999999,42.2710106140504,2.62745156371608,6.83113486172478,35.1635974644693,31.1493001529726,0,9.68959249192875,6.7229827208626,-0.7499091330885008,-1.656258906628004,0.1649380841081953,4.996761854898731,26.2241089254704,0
2025-01-01,10.467333333333332,1.51695986759418,0.9526116416619526,0.5720126257001036,32.9079241058137,10.5,10.437,-1.0213145568451,33.46001040802303,3.734182812094639,4.435821026224179,31.1493001529726,1.07018749884138,3.589999999999999,34.5641830124417,0.0,0.717459927303096,37.6438482526851,30.3993910198841,0,7.60936497768895,7.11844228100777,0.0,0.0,0.1629188533389645,0.9562415255893592,26.2254579224946,0
